"recordid","county","year","date","office","surname","prof","ncand","votes","location","writein","totalvotes","raceid","incumb","elected","first","sumvotes","percent"
200201024,"SAN FRANCISCO",2002,2002-12-05,"COUNTY SUPERVISOR","Dudum","Local Small Business Person",2,6462,"SAN FRANCISCO","0","14751",200200456,"N",2,"Ronald",14751,0.438071995118975
200201025,"SAN FRANCISCO",2002,2002-12-05,"COUNTY SUPERVISOR","Ma","CPA/Tax Accountant",2,8289,"SAN FRANCISCO","0","14751",200200456,"N",1,"Fiona",14751,0.561928004881025
200201026,"SAN FRANCISCO",2002,2002-12-05,"COUNTY SUPERVISOR","Dufty","Neighborhood Services Manager",2,11096,"SAN FRANCISCO","0","21091",200200457,"N",1,"Bevan",21091,0.52610118059836
200201027,"SAN FRANCISCO",2002,2002-12-05,"COUNTY SUPERVISOR","Hansen","Nonprofit Organization Consultant",2,9995,"SAN FRANCISCO","0","21091",200200457,"N",2,"Eileen",21091,0.473898819401641
200400572,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Alterman","Community Volunteer",12,2631,"SAN FRANCISCO","499","28000",200400190,"N",1,"Michael",27501,0.0939642857142857
200400573,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Chandonia","Computational Biologist",12,2434,"SAN FRANCISCO","499","28000",200400190,"N",1,"John-Marc",27501,0.0869285714285714
200400574,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","DeBoer","Community Programs Director",12,2690,"SAN FRANCISCO","499","28000",200400190,"N",1,"Maureen",27501,0.0960714285714286
200400575,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Finn","Train Operator/Student",12,1338,"SAN FRANCISCO","499","28000",200400190,"N",2,"Chris",27501,0.0477857142857143
200400576,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Herman","No ballot designation",12,1498,"SAN FRANCISCO","499","28000",200400190,"N",2,"Micheas C.",27501,0.0535
200400577,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Kim","Deputy Public Defender",12,2743,"SAN FRANCISCO","499","28000",200400190,"N",1,"Sujung",27501,0.0979642857142857
200400578,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","King","Non-Profit Fundraising Director",12,2934,"SAN FRANCISCO","499","28000",200400190,"N",1,"Susan C.",27501,0.104785714285714
200400579,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Knox","Solar Energy Coordinator",12,2422,"SAN FRANCISCO","499","28000",200400190,"N",1,"Kimberley M.",27501,0.0865
200400580,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Petroni","Newspaper Editor",12,1368,"SAN FRANCISCO","499","28000",200400190,"N",2,"Carlos",27501,0.0488571428571429
200400581,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Powell","Journalist",12,2764,"SAN FRANCISCO","499","28000",200400190,"N",1,"Catherine",27501,0.0987142857142857
200400582,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Quick","Physician",12,2400,"SAN FRANCISCO","499","28000",200400190,"N",1,"Paul",27501,0.0857142857142857
200400583,"SAN FRANCISCO",2004,2004-03-02,"COUNTY COUNCIL","Salomon","Police Reform Treasurer",12,2279,"SAN FRANCISCO","499","28000",200400190,"N",1,"Marc",27501,0.0813928571428571
200400584,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Dawydiak","Police Sergeant/Attorney",7,1373,"SAN FRANCISCO","0","28697",200400191,"N",2,"Leanna",28697,0.0478447224448549
200400585,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Freebairn","Technical Account Consultant",7,131,"SAN FRANCISCO","0","28697",200400191,"N",2,"Jeffrey S.",28697,0.00456493710143917
200400586,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Heller","Small Business Owner",7,2003,"SAN FRANCISCO","0","28697",200400191,"N",2,"David",28697,0.069798236749486
200400587,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","McGoldrick","San Francisco Supervisor",7,11791,"SAN FRANCISCO","0","28697",200400191,"Y",1,"Jake",28697,0.410879185977628
200400588,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Sing","Mediator",7,8959,"SAN FRANCISCO","0","28697",200400191,"N",2,"Lilian",28697,0.312192912151096
200400589,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Tsai","Radio Host",7,1581,"SAN FRANCISCO","0","28697",200400191,"N",2,"Rose",28697,0.0550928668501934
200400590,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Tuchow","Attorney/Teacher",7,2859,"SAN FRANCISCO","0","28697",200400191,"N",2,"Matt",28697,0.0996271387253023
200400591,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Alioto-Pier","Appointed Incumbent",5,21013,"SAN FRANCISCO","0","34308",200400192,"Y",1,"Michela",34308,0.612481053981579
200400592,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Braccini","Attorney",5,5763,"SAN FRANCISCO","0","34308",200400192,"N",2,"Steve",34308,0.167978314095838
200400593,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Pascal","Local Business Developer",5,4207,"SAN FRANCISCO","0","34308",200400192,"N",2,"David",34308,0.122624460767168
200400594,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Schulke","Computer Company Executive",5,1950,"SAN FRANCISCO","0","34308",200400192,"N",2,"Roger E.",34308,0.0568380552640783
200400595,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Shah","CPA",5,1375,"SAN FRANCISCO","0","34308",200400192,"N",2,"Jay R.",34308,0.0400781158913373
200400596,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Busalacchi","Small Business Owner",4,1536,"SAN FRANCISCO","0","25771",200400193,"Y",2,"Sal",25771,0.0596018780800124
200400597,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","O'Flynn","Neighborhood Small Businessman",4,4581,"SAN FRANCISCO","0","25771",200400193,"N",2,"Brian Murphy",25771,0.177757944976912
200400598,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Peskin","San Francisco Supervisor",4,16120,"SAN FRANCISCO","0","25771",200400193,"Y",1,"Aaron",25771,0.625509293391797
200400599,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Wong","Immigration Attorney",4,3534,"SAN FRANCISCO","0","25771",200400193,"N",2,"Eugene Chi-Ching",25771,0.137130883551279
200400600,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Anderson","Dishwasher",22,332,"SAN FRANCISCO","0","34955",200400194,"N",2,"Rob",34955,0.00949792590473466
200400601,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Barnes","District Supervisor's Representative",22,1659,"SAN FRANCISCO","0","34955",200400194,"N",2,"Bill",34955,0.0474610213131169
200400602,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Blue","Loan Consultant",22,792,"SAN FRANCISCO","0","34955",200400194,"N",2,"Joseph",34955,0.0226577027606923
200400603,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Brown","No ballot designation",22,57,"SAN FRANCISCO","0","34955",200400194,"N",2,"H.",34955,0.00163066800171649
200400604,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Ciocca","Attorney-Restaurant Host",22,87,"SAN FRANCISCO","0","34955",200400194,"N",2,"Patrick M.",34955,0.00248891431840938
200400605,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Davis","Doctoral Student",22,412,"SAN FRANCISCO","0","34955",200400194,"N",2,"Julian",34955,0.011786582749249
200400606,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Feldstein","Community Housing Executive",22,3242,"SAN FRANCISCO","0","34955",200400194,"N",2,"Lisa",34955,0.0927478186239451
200400607,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Gilman","Attorney",22,390,"SAN FRANCISCO","0","34955",200400194,"N",2,"Emmett",34955,0.0111572021170076
200400608,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Haaland","Labor/Housing Organizer",22,5096,"SAN FRANCISCO","0","34955",200400194,"N",2,"Robert",34955,0.145787440995566
200400609,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","House","No ballot designation",22,61,"SAN FRANCISCO","0","34955",200400194,"N",2,"Philip",34955,0.00174510084394221
200400610,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Kalb","Environmental Policy Director",22,1393,"SAN FRANCISCO","0","34955",200400194,"N",2,"Dan",34955,0.0398512373051066
200400611,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","King","Non-Profit Fundraising Director",22,971,"SAN FRANCISCO","0","34955",200400194,"N",2,"Susan C.",34955,0.0277785724502932
200400612,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Mirkarimi","District Attorney Investigator",22,9928,"SAN FRANCISCO","0","34955",200400194,"N",1,"Ross",34955,0.284022314404234
200400613,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","O'Connor","Small Business Owner",22,860,"SAN FRANCISCO","0","34955",200400194,"N",2,"Michael E.",34955,0.0246030610785295
200400614,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Siegel","Small Business Owner",22,1537,"SAN FRANCISCO","0","34955",200400194,"N",2,"Jim",34955,0.0439708196252324
200400615,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Sniffen","Small Business Owner",22,684,"SAN FRANCISCO","0","34955",200400194,"N",2,"Tys",34955,0.0195680160205979
200400616,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Somsel","Business Development Consultant",22,365,"SAN FRANCISCO","0","34955",200400194,"N",2,"Francis",34955,0.0104419968530968
200400617,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Streets","Deputy Public Defender",22,654,"SAN FRANCISCO","0","34955",200400194,"N",2,"Phoenix",34955,0.018709769703905
200400618,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Sullivan","Internet Service Executive",22,2474,"SAN FRANCISCO","0","34955",200400194,"N",2,"Andrew",34955,0.0707767129166071
200400619,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Waugh","Labor Rights Advisor",22,3007,"SAN FRANCISCO","0","34955",200400194,"N",2,"Nick",34955,0.0860248891431841
200400620,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Wheeler","Professor",22,825,"SAN FRANCISCO","0","34955",200400194,"N",2,"Brett",34955,0.0236017737090545
200400621,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Wilder","Consumer Advisor",22,129,"SAN FRANCISCO","0","34955",200400194,"N",2,"Vivian",34955,0.00369045916177943
200400622,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Belenson","Senior Assessment Clerk",13,507,"SAN FRANCISCO","0","31523",200400195,"N",2,"Art",31523,0.0160834945912508
200400623,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Corrales","Police Captain",13,2550,"SAN FRANCISCO","0","31523",200400195,"N",2,"Gregory",31523,0.0808933159914983
200400624,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Elsbernd","Appointed Supervisor",13,10475,"SAN FRANCISCO","0","31523",200400195,"Y",1,"Sean R.",31523,0.332297052945468
200400625,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Grigg, III","Attorney",13,2082,"SAN FRANCISCO","0","31523",200400195,"N",2,"Vernon C.",31523,0.0660470132918821
200400626,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Kaff","Attorney/Business Owner",13,541,"SAN FRANCISCO","0","31523",200400195,"N",2,"Svetlana",31523,0.0171620721378041
200400627,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Kini","Parent",13,349,"SAN FRANCISCO","0","31523",200400195,"N",2,"Sheela",31523,0.0110712812866796
200400628,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Lakey","Field Representative",13,760,"SAN FRANCISCO","0","31523",200400195,"N",2,"Pat",31523,0.0241093804523681
200400629,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Linnebach","Attorney",13,6764,"SAN FRANCISCO","0","31523",200400195,"N",2,"Christine",31523,0.214573486026076
200400630,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Mallen","Management Consultant",13,968,"SAN FRANCISCO","0","31523",200400195,"N",2,"Michael Patrick",31523,0.0307077372077531
200400631,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","O'Brien","Physician/Teacher",13,2359,"SAN FRANCISCO","0","31523",200400195,"N",2,"Milton ""Rennie""",31523,0.07483424800939
200400632,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Parker","Businessman/Restaurant Manager",13,348,"SAN FRANCISCO","0","31523",200400195,"N",2,"David",31523,0.0110395584176633
200400633,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Reifsteck","Nonprofit Executive",13,1103,"SAN FRANCISCO","0","31523",200400195,"N",2,"Shawn",31523,0.03499032452495
200400634,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Wang","Financial Advisor",13,2717,"SAN FRANCISCO","0","31523",200400195,"N",2,"Isaac",31523,0.086191035117216
200400635,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Ammiano","Member/Board of Supervisors",6,12547,"SAN FRANCISCO","17","24733",200400196,"Y",1,"Tom",24716,0.507297942020782
200400636,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Bermudez","Immigrants Rights Organizer",6,1018,"SAN FRANCISCO","17","24733",200400196,"N",2,"Lucrecia",24716,0.0411595843609752
200400637,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Bustos","Community Relations Advisor",6,4318,"SAN FRANCISCO","17","24733",200400196,"N",2,"Miguel",24716,0.174584563134274
200400638,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Perez","Voice Communications Manager",6,575,"SAN FRANCISCO","17","24733",200400196,"N",2,"Jame Boris",24716,0.0232482917559536
200400639,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Saucedo","Civil Rights Attorney",6,5460,"SAN FRANCISCO","17","24733",200400196,"N",2,"Renee",24716,0.220757692152185
200400640,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Zeltzer","Stationary Engineer",6,798,"SAN FRANCISCO","17","24733",200400196,"N",2,"Steve",24716,0.0322645857760886
200400641,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Bonilla","No ballot designation",8,2279,"SAN FRANCISCO","0","23039",200400197,"N",2,"Roland A.",23039,0.0989192239246495
200400642,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Grier","Educator/Administrator",8,2787,"SAN FRANCISCO","0","23039",200400197,"N",2,"Anita",23039,0.120968792048266
200400643,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Lim","Small Business Owner",8,4259,"SAN FRANCISCO","0","23039",200400197,"N",2,"Myrna Viray",23039,0.184860454012761
200400644,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Medina","Environmental Board Member",8,2852,"SAN FRANCISCO","0","23039",200400197,"N",2,"Jose",23039,0.123790095056209
200400645,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Sandoval","Incumbent",8,7427,"SAN FRANCISCO","0","23039",200400197,"Y",1,"Gerardo",23039,0.322366422153739
200400646,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Silverberg","Community Volunteer",8,1810,"SAN FRANCISCO","0","23039",200400197,"N",2,"Rebecca Reynolds",23039,0.0785624376057989
200400647,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Silverio","Retired Infantry Officer",8,307,"SAN FRANCISCO","0","23039",200400197,"N",2,"Fil M.",23039,0.0133252311298233
200400648,"SAN FRANCISCO",2004,2004-11-02,"COUNTY SUPERVISOR","Yuen","Police Sergeant",8,1318,"SAN FRANCISCO","0","23039",200400197,"N",2,"Tom",23039,0.057207344068753
200600835,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Alioto-Pier","Supervisor/D2",2,16393,"SAN FRANCISCO","712","20458",200600390,"Y",1,"Michela",19746,0.801300224850914
200600836,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Guinto Peoro","Business Management Consultant",2,3353,"SAN FRANCISCO","712","20458",200600390,"N",2,"Vilma",19746,0.163896764102063
200600837,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Chan","Small Business Person/Former Police Commissioner",6,3192,"SAN FRANCISCO","2","19539",200600391,"N",2,"Doug",19537,0.163365576539229
200600838,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Dudum","Local Small Businessperson",6,5072,"SAN FRANCISCO","2","19539",200600391,"N",2,"Ron",19537,0.259583397307948
200600839,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Ferguson","San Francisco Public School Teacher",6,1419,"SAN FRANCISCO","2","19539",200600391,"N",2,"David",19537,0.0726239828036235
200600840,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Jew","Manager/Small Businessman",6,5125,"SAN FRANCISCO","2","19539",200600391,"N",1,"Ed",19537,0.262295920978556
200600841,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Mak","Community Attorney/Mother",6,4504,"SAN FRANCISCO","2","19539",200600391,"N",2,"Jaynry",19537,0.230513332309739
200600842,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Zheng","Small Business Owner",6,225,"SAN FRANCISCO","2","19539",200600391,"N",2,"Houston",19537,0.0115154306771073
200600843,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Black","Legislative Aide/Attorney",8,7051,"SAN FRANCISCO","0","17728",200600392,"N",2,"Rob",17728,0.397732400722022
200600844,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Daly","Incumbent",8,8654,"SAN FRANCISCO","0","17728",200600392,"Y",1,"Chris",17728,0.488154332129964
200600845,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Dias","Insurance Agent/Broker",8,222,"SAN FRANCISCO","0","17728",200600392,"N",2,"George",17728,0.0125225631768953
200600846,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Drake","Public Interest Lawyer",8,669,"SAN FRANCISCO","0","17728",200600392,"N",2,"Matt",17728,0.0377369133574007
200600847,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Dugovic","Painter/Video maker",8,330,"SAN FRANCISCO","0","17728",200600392,"N",2,"Viliam",17728,0.0186146209386282
200600848,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Jimenez, Jr.","Attorney",8,311,"SAN FRANCISCO","0","17728",200600392,"N",2,"Manuel",17728,0.0175428700361011
200600849,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Jones","Housing Coordinator",8,372,"SAN FRANCISCO","0","17728",200600392,"N",2,"Davy",17728,0.0209837545126354
200600850,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Jordan, Jr.","Evangelist/Minister",8,119,"SAN FRANCISCO","0","17728",200600392,"N",2,"Robert",17728,0.00671254512635379
200600851,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR",NA,"Escort/Exotic Dancer",3,1470,"SAN FRANCISCO","3","31343",200600393,"N",2,"Starchild",31340,0.0469004243371726
200600852,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Dufty","Member Board of Supervisors",3,20761,"SAN FRANCISCO","3","31343",200600393,"Y",1,"Bevan",31340,0.662380754873496
200600853,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Rosenthal","Public Interest Attorney",3,9109,"SAN FRANCISCO","3","31343",200600393,"N",2,"Alix Amelia",31340,0.290623105637622
200600854,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Chandler","Parent",7,270,"SAN FRANCISCO","0","14094",200600394,"N",2,"Sala",14094,0.0191570881226054
200600855,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Hampton, Jr.","Program Director at Ella Hill Hutch Community Center",7,1185,"SAN FRANCISCO","0","14094",200600394,"N",2,"Rodney",14094,0.084078331204768
200600856,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Harrison","Environmentalist",7,1129,"SAN FRANCISCO","0","14094",200600394,"N",2,"Marie L.",14094,0.0801050092237832
200600857,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Jackson","Retired Community Organizer",7,1437,"SAN FRANCISCO","0","14094",200600394,"N",2,"Espanola",14094,0.1019582801192
200600858,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Jusino","Insurance Fraud Investigator",7,1684,"SAN FRANCISCO","0","14094",200600394,"N",2,"Dwayne",14094,0.119483468142472
200600859,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Maxwell","Member of San Francisco Board of Supervisors",7,7916,"SAN FRANCISCO","0","14094",200600394,"Y",1,"Sophie",14094,0.561657442883497
200600860,"SAN FRANCISCO",2006,2006-11-07,"COUNTY SUPERVISOR","Walker","Trucker Owner + Operator",7,473,"SAN FRANCISCO","0","14094",200600394,"N",2,"Charlie",14094,0.0335603803036753
200800546,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Belloni","Independent Television Producer",9,536,"SAN FRANCISCO","42","28686",200800212,"N",2,"Nicholas C.",28644,0.0186850728578401
200800547,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","D'Silva","Manager",9,254,"SAN FRANCISCO","42","28686",200800212,"N",2,"Sherman R.",28644,0.00885449348114063
200800548,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Flamik","Businessman",9,324,"SAN FRANCISCO","42","28686",200800212,"N",2,"George",28644,0.0112947082200376
200800549,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Gakuba","Father/Management Consultant",9,361,"SAN FRANCISCO","42","28686",200800212,"N",2,"Fidel Chrys",28644,0.0125845360105975
200800550,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Jungreis","Attorney",9,610,"SAN FRANCISCO","42","28686",200800212,"N",2,"Jason",28644,0.0212647284389598
200800551,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Larkin","Engineer",9,995,"SAN FRANCISCO","42","28686",200800212,"N",2,"Brian J.",28644,0.0346859095028934
200800552,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Lee","Nonprofit Executive Director",9,9733,"SAN FRANCISCO","42","28686",200800212,"N",1,"Sue",28644,0.339294429338353
200800553,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Mar","Member Board of Education",9,11625,"SAN FRANCISCO","42","28686",200800212,"N",1,"Eric",28644,0.405249947709684
200800554,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Wang","Educator/Professor/Mother",9,4206,"SAN FRANCISCO","42","28686",200800212,"N",1,"Alicia",28644,0.146622045597155
200800555,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Alioto Jr.","Small Business Attorney",9,6268,"SAN FRANCISCO","35","27067",200800213,"N",1,"Joseph",27032,0.231573502789375
200800556,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Cheng","Attorney/Community Coordinator",9,2492,"SAN FRANCISCO","35","27067",200800213,"N",2,"Claudine",27032,0.0920678316769498
200800557,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Chiu","Attorney/Small Businessperson",9,10209,"SAN FRANCISCO","35","27067",200800213,"N",1,"David",27032,0.377175157941405
200800558,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","DeNunzio","Independent Financial Manager",9,1330,"SAN FRANCISCO","35","27067",200800213,"N",2,"Mike",27032,0.0491373258950013
200800559,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Gantner","Attorney",9,1191,"SAN FRANCISCO","35","27067",200800213,"N",2,"Tony",27032,0.0440019211586064
200800560,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Jefferson","Nonprofit Organization Coordinator",9,1234,"SAN FRANCISCO","35","27067",200800213,"N",2,"Lynn",27032,0.0455905715446854
200800561,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","McCarthy","Non-Profit Executive",9,3165,"SAN FRANCISCO","35","27067",200800213,"N",1,"Denise",27032,0.116932057486977
200800562,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Pang","College Professor",9,939,"SAN FRANCISCO","35","27067",200800213,"N",2,"Wilma",27032,0.0346916909890272
200800563,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Quessey","Industrial Designer",9,204,"SAN FRANCISCO","35","27067",200800213,"N",2,"Mark",27032,0.00753685299442125
200800564,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Chu","Appointed San Francisco Supervisor",3,15353,"SAN FRANCISCO","53","29316",200800214,"Y",1,"Carmen",29263,0.523707190612635
200800565,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Dudum","Small Business Person",3,10304,"SAN FRANCISCO","53","29316",200800214,"N",1,"Ron",29263,0.351480420248329
200800566,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Ferguson","School Teacher/Manager",3,3606,"SAN FRANCISCO","53","29316",200800214,"N",1,"David",29263,0.123004502660663
200800567,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Anderson","Dependent Care Provider",3,1982,"SAN FRANCISCO","87","35513",200800215,"N",1,"Rob",35426,0.0558105482499366
200800568,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Mirkarimi","San Francisco Supervisor",3,27482,"SAN FRANCISCO","87","35513",200800215,"Y",1,"Ross",35426,0.773857460648213
200800569,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","O'Donnell","Retired Environmental Attorney",3,5962,"SAN FRANCISCO","87","35513",200800215,"N",1,"Owen P.",35426,0.167882183988962
200800570,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Elsbernd","Member/Board of Supervisors",3,22019,"SAN FRANCISCO","211","30986",200800216,"Y",1,"Sean R.",30775,0.710611243787517
200800571,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Lagos","Public School Teacher",3,5792,"SAN FRANCISCO","211","30986",200800216,"N",1,"Julian P.",30775,0.186923126573291
200800572,"SAN FRANCISCO",2008,2008-11-04,"COUNTY SUPERVISOR","Whitmer","Teacher",3,2964,"SAN FRANCISCO","211","30986",200800216,"N",1,"Billy Bob",30775,0.0956561027560834
